Infinitive verb,English translation,Pronunciation,Pronouns,Present Simple Tense,Past Preterite Tense,Future Simple Tense
abrir,to open,ah - breer,yo,abro,abrí,abriré
,,,tú,abres,abriste,abrirás
,,,él/ella/usted,abre,abrió,abrirá
,,,nosotros,abrimos,abrimos,abriremos
,,,vosotros,abrís,abristeis,abriréis
,,,ellos/ellas/ustedes,abren,abrieron,abrirán
aceptar,to accept,ah - thehp - tahr,yo,acepto,acepté,aceptaré
,,,tú,aceptas,aceptaste,aceptarás
,,,él/ella/usted,acepta,aceptó,aceptará
,,,nosotros,aceptamos,aceptamos,aceptaremos
,,,vosotros,aceptáis,aceptasteis,aceptaréis
,,,ellos/ellas/ustedes,aceptan,aceptaron,aceptarán
acordar,to agree,ah - kohr - dahr,yo,acuerdo,acordé,acordaré
,,,tú,acuerdas,acordaste,acordarás
,,,él/ella/usted,acuerda,acordó,acordará
,,,nosotros,acordamos,acordamos,acordaremos
,,,vosotros,acordáis,acordasteis,acordaréis
,,,ellos/ellas/ustedes,acuerdan,acordaron,acordarán
acostarse,to go to bed,ah - kohs - tahr - seh,yo,me acuesto,me acosté,me acostaré
,,,tú,te acuestas,te acostaste,te acostarás
,,,él/ella/usted,se acuesta,se acostó,se acostará
,,,nosotros,nos acostamos,nos acostamos,nos acostaremos
,,,vosotros,os acostáis,os acostasteis,os acostaréis
,,,ellos/ellas/ustedes,se acuestan,se acostaron,se acostarán
ahorrar,to save money,ah - oh - rrahr,yo,ahorro,ahorré,ahorraré
,,,tú,ahorras,ahorraste,ahorrarás
,,,él/ella/usted,ahorra,ahorró,ahorrará
,,,nosotros,ahorramos,ahorramos,ahorraremos
,,,vosotros,ahorráis,ahorrasteis,ahorraréis
,,,ellos/ellas/ustedes,ahorran,ahorraron,ahorrarán
almorzar,to eat lunch,ahl - mohr - thahr,yo,almuerzo,almorcé,almorzaré
,,,tú,almuerzas,almorzaste,almorzarás
,,,él/ella/usted,almuerza,almorzó,almorzará
,,,nosotros,almorzamos,almorzamos,almorzaremos
,,,vosotros,almorzáis,almorzasteis,almorzaréis
,,,ellos/ellas/ustedes,almuerzan,almorzaron,almorzarán
alquilar,to rent,ahl - kee - lahr,yo,alquilo,alquilé,alquilaré
,,,tú,alquilas,alquilaste,alquilarás
,,,él/ella/usted,alquila,alquiló,alquilará
,,,nosotros,alquilamos,alquilamos,alquilaremos
,,,vosotros,alquiláis,alquilasteis,alquilaréis
,,,ellos/ellas/ustedes,alquilan,alquilaron,alquilarán
amar,to love,ah - mahr,yo,amo,amé,amaré
,,,tú,amas,amaste,amarás
,,,él/ella/usted,ama,amó,amará
,,,nosotros,amamos,amamos,amaremos
,,,vosotros,amáis,amasteis,amaréis
,,,ellos/ellas/ustedes,aman,amaron,amarán
añadir,to add,ah - nyah - deer,yo,añado,añadí,añadiré
,,,tú,añades,añadiste,añadirás
,,,él/ella/usted,añade,añadió,añadirá
,,,nosotros,añadimos,añadimos,añadiremos
,,,vosotros,añadís,añadisteis,añadiréis
,,,ellos/ellas/ustedes,añaden,añadieron,añadirán
andar,to go around,ahn - dahr,yo,ando,anduve,andaré
,,,tú,andas,anduviste,andarás
,,,él/ella/usted,anda,anduvo,andará
,,,nosotros,andamos,anduvimos,andaremos
,,,vosotros,andáis,anduvisteis,andaréis
,,,ellos/ellas/ustedes,andan,anduvieron,andarán
apagar,to turn off,ah - pah - gahr,yo,apago,apagué,apagaré
,,,tú,apagas,apagaste,apagarás
,,,él/ella/usted,apaga,apagó,apagará
,,,nosotros,apagamos,apagamos,apagaremos
,,,vosotros,apagáis,apagasteis,apagaréis
,,,ellos/ellas/ustedes,apagan,apagaron,apagarán
aparecer,to appear,ah - pah - reh - thehr,yo,aparezco,aparecí,apareceré
,,,tú,apareces,apareciste,aparecerás
,,,él/ella/usted,aparece,apareció,aparecerá
,,,nosotros,aparecemos,aparecimos,apareceremos
,,,vosotros,aparecéis,aparecisteis,apareceréis
,,,ellos/ellas/ustedes,aparecen,aparecieron,aparecerán
apoyar,to support,ah - poh - yahr,yo,apoyo,apoyé,apoyaré
,,,tú,apoyas,apoyaste,apoyarás
,,,él/ella/usted,apoya,apoyó,apoyará
,,,nosotros,apoyamos,apoyamos,apoyaremos
,,,vosotros,apoyáis,apoyasteis,apoyaréis
,,,ellos/ellas/ustedes,apoyan,apoyaron,apoyarán
aprender,to learn,ah - prehn - dehr,yo,aprendo,aprendí,aprenderé
,,,tú,aprendes,aprendiste,aprenderás
,,,él/ella/usted,aprende,aprendió,aprenderá
,,,nosotros,aprendemos,aprendimos,aprenderemos
,,,vosotros,aprendéis,aprendisteis,aprenderéis
,,,ellos/ellas/ustedes,aprenden,aprendieron,aprenderán
arreglar,to fix,ah - rreh - glahr,yo,arreglo,arreglé,arreglaré
,,,tú,arreglas,arreglaste,arreglarás
,,,él/ella/usted,arregla,arregló,arreglará
,,,nosotros,arreglamos,arreglamos,arreglaremos
,,,vosotros,arregláis,arreglasteis,arreglaréis
,,,ellos/ellas/ustedes,arreglan,arreglaron,arreglarán
asegurarse,to be sure,ah - seh - goo - rahr - seh,yo,me aseguro,me aseguré,me aseguraré
,,,tú,te aseguras,te aseguraste,te asegurarás
,,,él/ella/usted,se asegura,se aseguró,se asegurará
,,,nosotros,nos aseguramos,nos aseguramos,nos aseguraremos
,,,vosotros,os aseguráis,os asegurasteis,os aseguraréis
,,,ellos/ellas/ustedes,se aseguran,se aseguraron,se asegurarán
atender,to attend to,ah - tehn - dehr,yo,atiendo,atendí,atenderé
,,,tú,atiendes,atendiste,atenderás
,,,él/ella/usted,atiende,atendió,atenderá
,,,nosotros,atendemos,atendimos,atenderemos
,,,vosotros,atendéis,atendisteis,atenderéis
,,,ellos/ellas/ustedes,atienden,atendieron,atenderán
ayudar,to help,ah - yoo - dahr,yo,ayudo,ayudé,ayudaré
,,,tú,ayudas,ayudaste,ayudarás
,,,él/ella/usted,ayuda,ayudó,ayudará
,,,nosotros,ayudamos,ayudamos,ayudaremos
,,,vosotros,ayudáis,ayudasteis,ayudaréis
,,,ellos/ellas/ustedes,ayudan,ayudaron,ayudarán
bailar,to dance,bay - lahr,yo,bailo,bailé,bailaré
,,,tú,bailas,bailaste,bailarás
,,,él/ella/usted,baila,bailó,bailará
,,,nosotros,bailamos,bailamos,bailaremos
,,,vosotros,bailáis,bailasteis,bailaréis
,,,ellos/ellas/ustedes,bailan,bailaron,bailarán
bajar,to go down,bah - hahr,yo,bajo,bajé,bajaré
,,,tú,bajas,bajaste,bajarás
,,,él/ella/usted,baja,bajó,bajará
,,,nosotros,bajamos,bajamos,bajaremos
,,,vosotros,bajáis,bajasteis,bajaréis
