Infinitive verb,English translation,Pronunciation,Pronouns,Present Simple Tense,Past Preterite Tense,Past Imperfect Tense,Conditional Tense,Future Simple Tense
abrir,to open,ah - breer,yo,abro,abrí,abría,abriría,abriré
,,,tú,abres,abriste,abrías,abrirías,abrirás
,,,él/ella/usted,abre,abrió,abría,abriría,abrirá
,,,nosotros,abrimos,abrimos,abríamos,abriríamos,abriremos
,,,vosotros,abrís,abristeis,abríais,abriríais,abriréis
,,,ellos/ellas/ustedes,abren,abrieron,abrían,abrirían,abrirán
aceptar,to accept,ah - thehp - tahr,yo,acepto,acepté,aceptaba,aceptaría,aceptaré
,,,tú,aceptas,aceptaste,aceptabas,aceptarías,aceptarás
,,,él/ella/usted,acepta,aceptó,aceptaba,aceptaría,aceptará
,,,nosotros,aceptamos,aceptamos,aceptábamos,aceptaríamos,aceptaremos
,,,vosotros,aceptáis,aceptasteis,aceptabais,aceptaríais,aceptaréis
,,,ellos/ellas/ustedes,aceptan,aceptaron,aceptaban,aceptarían,aceptarán
acordar,to agree,ah - kohr - dahr,yo,acuerdo,acordé,acordaba,acordaría,acordaré
,,,tú,acuerdas,acordaste,acordabas,acordarías,acordarás
,,,él/ella/usted,acuerda,acordó,acordaba,acordaría,acordará
,,,nosotros,acordamos,acordamos,acordábamos,acordaríamos,acordaremos
,,,vosotros,acordáis,acordasteis,acordabais,acordaríais,acordaréis
,,,ellos/ellas/ustedes,acuerdan,acordaron,acordaban,acordarían,acordarán
acostarse,to go to bed,ah - kohs - tahr - seh,yo,me acuesto,me acosté,me acostaba,me acostaría,me acostaré
,,,tú,te acuestas,te acostaste,te acostabas,te acostarías,te acostarás
,,,él/ella/usted,se acuesta,se acostó,se acostaba,se acostaría,se acostará
,,,nosotros,nos acostamos,nos acostamos,nos acostábamos,nos acostaríamos,nos acostaremos
,,,vosotros,os acostáis,os acostasteis,os acostabais,os acostaríais,os acostaréis
,,,ellos/ellas/ustedes,se acuestan,se acostaron,se acostaban,se acostarían,se acostarán
agradecer,to thank,ah - grah - deh - thehr,yo,agradezco,agradecí,agradecía,agradecería,agradeceré
,,,tú,agradeces,agradeciste,agradecías,agradecerías,agradecerás
,,,él/ella/usted,agradece,agradeció,agradecía,agradecería,agradecerá
,,,nosotros,agradecemos,agradecimos,agradecíamos,agradeceríamos,agradeceremos
,,,vosotros,agradecéis,agradecisteis,agradecíais,agradeceríais,agradeceréis
,,,ellos/ellas/ustedes,agradecen,agradecieron,agradecían,agradecerían,agradecerán
ahorrar,to save money,ah - oh - rrahr,yo,ahorro,ahorré,ahorraba,ahorraría,ahorraré
,,,tú,ahorras,ahorraste,ahorrabas,ahorrarías,ahorrarás
,,,él/ella/usted,ahorra,ahorró,ahorraba,ahorraría,ahorrará
,,,nosotros,ahorramos,ahorramos,ahorrábamos,ahorraríamos,ahorraremos
,,,vosotros,ahorráis,ahorrasteis,ahorrabais,ahorraríais,ahorraréis
,,,ellos/ellas/ustedes,ahorran,ahorraron,ahorraban,ahorrarían,ahorrarán
almorzar,to eat lunch,ahl - mohr - thahr,yo,almuerzo,almorcé,almorzaba,almorzaría,almorzaré
,,,tú,almuerzas,almorzaste,almorzabas,almorzarías,almorzarás
,,,él/ella/usted,almuerza,almorzó,almorzaba,almorzaría,almorzará
,,,nosotros,almorzamos,almorzamos,almorzábamos,almorzaríamos,almorzaremos
,,,vosotros,almorzáis,almorzasteis,almorzabais,almorzaríais,almorzaréis
,,,ellos/ellas/ustedes,almuerzan,almorzaron,almorzaban,almorzarían,almorzarán
alquilar,to rent,ahl - kee - lahr,yo,alquilo,alquilé,alquilaba,alquilaría,alquilaré
